len,naive,RK,BM,KMP,python
1,35942.9,18137.899999999987,0.0,12167.499999999989,2006.499999999996
2,582624.5000000008,294405.1000000002,3011.900000000001,196278.80000000002,2000.400000000003
3,2167225.4000000004,1090957.7000000004,4085.7999999999956,726717.3999999996,4999.599999999999
4,4992448.5000000065,2832005.5999999987,8016.600000000002,1704832.6000000003,9063.19999999999
5,7599170.799999993,4482804.599999999,4130.399999999992,2654363.8999999985,26085.100000000006
6,11293087.699999992,6674005.20000001,3365.000000000001,3905363.0999999996,30618.200000000008
7,13799847.60000001,8110639.000000003,3017.3000000000006,4808702.800000001,23678.29999999998
8,16242874.80000001,9537945.600000003,6018.199999999998,5623798.70000001,27304.49999999999
9,17092917.59999994,10021129.60000001,2006.6,5947361.100000002,41083.09999999996
10,19390052.40000003,11458378.100000007,3220.1000000000004,6792731.800000011,33858.299999999996
11,19665641.399999987,11526619.299999991,12325.399999999989,6849937.999999998,34112.3
12,20413954.7,11944794.300000004,4996.400000000003,7097343.100000005,29076.200000000023
13,20330483.10000002,11890782.900000012,8988.499999999998,7063031.200000007,37918.2000000001
14,20653124.599999994,12090018.500000006,4005.899999999999,7215968.300000008,24000.30000000003
15,21068578.6,12293017.400000002,8833.900000000007,7345242.099999991,17955.100000000024
16,21430606.499999993,12539639.000000002,1000.0999999999995,7478914.699999992,24003.39999999997
17,21826316.299999934,12777522.899999997,7894.90000000001,7610158.400000003,22018.70000000003
18,21645965.299999997,12627905.500000011,8994.800000000005,7438686.699999995,27012.39999999998
19,22543078.099999998,13101942.100000003,6001.399999999998,7792764.700000001,24005.39999999999
20,21241331.40000003,12408367.6,9003.0,7379495.800000007,26998.700000000026
21,21923603.90000002,12788110.79999999,9008.600000000008,7611013.100000004,23017.500000000004
22,22228076.100000016,12978177.099999996,6377.700000000003,7753247.299999997,28006.299999999996
23,21250671.700000037,12379974.100000003,5190.100000000007,7385899.599999995,19994.30000000002
24,21032488.000000004,12288797.999999998,5001.799999999999,7352147.2,14998.600000000013
25,21573369.10000002,12581756.299999999,8991.1,7570203.499999994,17989.600000000017
26,21374086.099999998,12452133.700000014,7989.500000000006,7440673.300000011,17008.30000000003
27,20591691.999999993,12011001.500000006,6931.299999999998,7162823.900000002,21011.899999999976
28,21103094.69999998,12290624.90000002,11961.400000000001,7336450.899999997,16979.20000000001
29,21532037.700000007,12561622.400000006,13997.89999999999,7474544.900000002,18989.300000000032
30,21983522.6,12825585.800000008,5128.8,7684159.500000003,19034.1
31,21870041.900000032,12778886.599999988,13007.800000000016,7668351.700000002,14002.800000000008
32,21870726.79999999,12719752.700000016,10001.900000000003,7568617.099999996,21195.199999999968
33,22117973.90000002,12942791.799999999,10997.7,7784526.599999994,19997.499999999996
34,21382631.799999993,12498696.000000017,13003.49999999999,7431666.999999993,16074.000000000011
35,22044664.299999982,12811581.499999998,12024.699999999995,7744866.499999996,12985.200000000015
36,21704818.39999999,12643973.800000018,7966.100000000002,7526014.70000001,13015.30000000002
37,22242343.000000015,12961789.099999996,12992.400000000034,7769284.400000008,21006.499999999978
38,22238833.99999999,12966605.700000001,6204.799999999997,7707580.500000005,15008.799999999988
39,21589641.79999999,12581616.800000003,5986.2999999999965,7509797.200000007,15140.600000000011
40,21426849.199999973,12501842.500000002,8979.599999999999,7518109.6000000015,18981.099999999988
41,21654690.299999997,12582242.300000014,9979.999999999989,7519559.599999999,12021.299999999988
42,21153428.300000012,12275651.0,12996.300000000005,7375722.499999998,13996.800000000007
43,21510972.60000002,12504903.299999988,7882.799999999994,7465570.499999997,16056.699999999999
44,22211975.599999983,12899581.800000006,10014.40000000001,7728631.100000004,17989.99999999997
45,21316625.899999987,12422539.799999999,13002.799999999985,7389729.499999998,15741.299999999994
46,21515980.09999998,12472667.7,18029.79999999998,7491174.600000009,14008.500000000007
47,21767799.8,12717627.100000013,17026.19999999999,7624567.900000013,13007.099999999973
48,22167476.50000001,12888976.100000013,11018.900000000016,7701769.599999998,20803.500000000022
49,21627779.1,12552063.79999999,16972.300000000014,7516890.69999999,15079.49999999999
50,21980202.699999996,12752387.099999992,14003.3,7688769.800000005,12997.400000000009
51,21585434.500000015,12565773.900000012,12008.599999999995,7519741.8999999985,16992.1
52,21211674.299999993,12319724.699999992,22017.69999999999,7445725.3,12052.09999999999
53,21946250.599999994,12747757.700000007,11019.500000000013,7625533.100000002,19025.40000000002
54,21581940.100000016,12590032.299999986,17001.300000000007,7549327.899999999,12975.199999999995
55,21730629.2,12729201.699999992,15013.200000000012,7612490.0,24039.100000000002
56,21239062.100000005,12361168.299999997,18105.00000000004,7418297.099999993,16033.099999999993
57,21463643.60000002,12446614.499999994,17193.50000000001,7444387.500000001,11169.59999999999
