len,naive,RK,BM,KMP,python
1,10002.000000000002,10002.0,10073.999999999993,9989.999999999995,0.0
2,1040924.9999999999,500832.00000000047,509475.99999999994,479398.00000000006,20004.0
3,4394117.999999999,2210867.0,2230381.9999999995,2240384.0000000005,0.0
4,6551457.000000002,3730737.0,3761098.9999999995,3740576.000000003,10002.0
5,9271978.0,5551294.999999999,5501233.999999999,5541320.999999999,0.0
6,10042265.999999998,5981329.000000001,5971373.999999996,5921323.000000002,60010.99999999997
7,12343900.999999996,7245700.999999999,7187898.999999995,7311463.0,10004.000000000002
8,15589491.000000002,9181994.999999998,9155707.999999998,9169264.999999998,20056.999999999993
9,14763638.000000002,8762320.000000002,8771637.0,8892396.000000002,9998.999999999995
10,16866196.999999996,9835300.000000002,9933551.000000002,9967293.000000002,0.0
11,16317042.999999996,9602044.999999998,9655045.000000002,9608077.000000002,10000.0
12,17862675.000000004,10523517.999999998,10416637.000000002,10445509.999999998,10000.000000000002
13,14567327.999999998,8636084.000000004,8591219.999999996,8762472.0,0.0
14,20184545.999999996,11792771.000000002,11892987.000000004,11893496.000000002,30069.000000000007
15,16869681.000000004,9943972.000000002,10070670.999999998,9952014.000000002,39966.00000000001
16,21421271.999999993,12673961.999999996,12584770.999999998,12543036.0,9952.0
17,18775334.000000007,10902170.0,10916564.999999996,11006306.999999998,0.0
18,17985193.0,10582105.0,10640530.999999996,10625878.999999996,9952.0
19,14644170.0,8484542.000000002,8582886.000000002,8621918.000000002,0.0
20,20188141.000000007,11862805.000000002,11825088.000000002,11809669.999999996,10001.0
21,18533657.00000001,10964233.0,10990583.000000004,10905655.000000002,0.0
22,19176443.999999996,11282317.999999998,11297796.999999998,11263299.000000002,10007.999999999993
23,20932609.000000004,12313001.999999994,12348429.0,12325202.999999994,30163.999999999985
24,20749589.000000004,12273142.0,12217380.999999994,12362483.000000004,40206.99999999999
25,26769058.0,15816907.000000004,15782266.000000006,15756407.000000004,20004.000000000004
26,25369382.999999996,14889662.000000004,14896484.000000002,14926654.999999994,30148.000000000015
27,24594464.999999996,14493768.000000004,14564331.0,14508016.999999994,49862.0
28,23072806.999999993,13643841.0,13676187.000000006,13568535.000000004,30047.000000000022
29,23009785.999999996,13368659.0,13453040.999999996,13437641.0,0.0
30,20481581.0,12041955.999999998,12015371.999999996,12005932.0,10006.000000000004
31,22943979.000000004,13495136.0,13453481.999999994,13424149.999999998,20010.000000000004
