len,naive,RK,BM,KMP,python
1,4687.810000000021,7812.299999999994,0.0,1562.6499999999994,0.0
2,26586.910000000007,15627.829999999973,4688.16000000001,9377.189999999991,0.0
3,39296.17000000014,28645.279999999995,3225.269999999997,20513.370000000046,0.0
4,56259.99999999986,29871.910000000044,1564.4800000000087,12876.98000000007,1562.5900000000152
5,53148.27,31252.88,0.0,20309.309999999983,1562.5799999999895
6,53155.889999999876,32812.46999999995,0.0,25003.04000000006,0.0
7,60939.329999999914,29691.760000000042,3125.2800000000043,17188.549999999952,0.0
8,57195.30999999994,36230.05999999987,4690.130000000005,12653.420000000046,0.0
9,67295.43000000012,25030.670000000027,1562.5999999999947,23443.20000000002,0.0
10,53128.760000000155,29688.060000000045,3125.2199999999966,25001.42999999993,0.0
11,59354.10000000003,32814.67,3125.199999999988,26590.620000000017,0.0
12,50002.85999999989,41160.750000000124,1562.139999999999,23439.190000000028,1562.2699999999984
13,64067.52999999981,26563.500000000076,6275.460000000027,25005.110000000044,0.0
14,74524.53000000022,31244.570000000047,2241.4399999999973,25037.299999999963,100.02000000000007
15,52392.89000000004,48850.85999999997,3442.6599999999894,21538.720000000067,0.0
16,59394.9500000002,34361.05000000024,3125.899999999984,23437.910000000116,0.0
17,50258.25999999989,40345.37000000003,6680.119999999989,28220.280000000002,0.0
18,68724.77000000008,31280.209999999992,7814.379999999951,17187.680000000008,0.0
19,67184.46000000014,24998.639999999912,7812.970000000007,20325.100000000013,0.0
20,48509.92000000003,34400.06999999989,7794.439999999974,29639.61999999991,0.0
21,65681.91999999993,35909.659999999814,3125.1500000000037,20292.299999999937,1562.6100000000088
22,59351.79000000015,43790.919999999795,6250.749999999971,14052.370000000004,0.0
23,64047.68000000041,34443.27000000005,6238.3400000000165,20341.27000000013,0.0
24,65514.97000000003,25052.24000000005,7814.66999999999,25006.130000000045,1564.4800000000087
25,59398.0300000001,42207.309999999874,4687.68000000002,15609.500000000036,0.0
26,64067.519999999946,32814.24999999994,6250.460000000024,18752.860000000004,0.0
27,45312.71999999999,43772.900000000045,10918.650000000052,21879.300000000036,0.0
28,56271.040000000336,23431.809999999976,9327.689999999988,35975.79000000011,1562.5800000000006
29,45315.45999999986,31251.91,6250.419999999979,35940.15,1562.5799999999924
30,60947.97000000001,35933.03999999978,4687.680000000026,26566.389999999938,0.0
